Num,Address,Checkins,City,Country,Created,Latitude,Longitude,Title,Type
1,Мячковский б-р 3а,435,1,1,1280741941,55.657941,37.751574,Baila Baila,4
2,Дачная 2а,14,123,1,1280741941,53.202017,50.141377,Lust,4
3,Лени Голикова 29,8,2,1,1280741941,59.843376,30.23148,Тайфун,4
4,Героев Танкограда 63,8,158,1,1280741941,55.174954,61.451611,Hollywood,4
5,Мусы Джалиля 14К1,38,99,1,1280741941,54.860834,83.091932,Барабас,4
6,Мусы Джалиля 14,6,99,1,1280741941,54.861114,83.091415,Опера,4
7,Труда 153,15,158,1,1280741941,55.166948,61.395017,Малахит,4
8,Сони Кривой 81,3,158,1,1280741941,55.157006,61.365395,Полет,4
9,просп. Ленина 66а,161,158,1,1280741941,55.160365,61.380302,Уральские пельмени,4
10,Гурьянова 31,13,1,1,1280741941,55.684858,37.7183,Salvador Dali,4
11,Энгельса 1К1,1,99,1,1280741941,54.871906,83.106557,Четыре комнаты,4
12,Железноводская 68,3,2,1,1280741941,59.949213,30.234373,Занзибар,4
13,ул.Красная 24,2,2,1,1280741941,59.960462,30.286592,Проект,4
14,Полтавская 7,3,2,1,1280741941,59.92672,30.368536,La,4
15,2-я Брестская 6,5,1,1,1280741941,55.770968,37.591562,Моспроект,4
16,2-ая Боровая 11б,4,10,1,1280741941,48.721596,44.535346,Зажигалка,4
17,Мира 23,2,49,1,1280741941,56.840941,60.652137,Центр мира,4
18,Московский проспект 20,6,99,1,1280741941,55.029394,82.933293,The Past Pavilion,4
19,Ланское ш. 15,20,2,1,1280741941,59.991147,30.307604,Вертеп Карабаса Барабаса,4
20,Лубянский пр. 25К1,0,1,1,1280741941,55.757116,37.63146,Дом Кукера,4
21,Литейный пр. ,8,158,1,1280741941,55.151862,61.304467,Летняя веранда Geometria,4
22,Новослободская 26,2,1,1,1280741941,55.783104,37.598025,Хроника-бар,4
23,Черноморская 37а,0,72,1,1280741941,45.030744,39.107527,Какаду,4
24,ская 208,0,72,1,1280741941,55.676783,37.762449,СУ-27,4
25,Богданова 138,5,72,1,1280741941,45.020991,39.000241,Кокос,4
26,Северная 620,6,72,1,1280741941,45.039534,38.979894,Распутин,4
27,Мира 1б,1,151,1,1280741941,54.813967,56.059096,Goldy,4
28,1-я Останкинская 23,4,1,1,1280741941,55.82439,37.622387,Club 23,4
29,Ленина 119,1,49,1,1280741941,56.839774,60.615122,Камелот,4
30,ул. 8 Марта 13,5,49,1,1280741941,56.83615,60.600448,Down Town,4
31,Кирова 113К2,5,99,1,1280741941,55.013007,82.954521,Небо,4
32,Щелковское ш. 5,3,1,1,1280741941,55.80402,37.755266,Каста,4
33,Зеленодольская 43,9,1,1,1280741941,55.702617,37.766585,Campanello,4
34, 15,17,1,1,1280741941,55.930433,37.852652,Atoll,4
35,Покровка 18К18,49,1,1,1280741941,55.758808,37.646435,Карибы,4
36,наб. Мартынова 94,11,2,1,1280741941,59.975815,30.245647,RT-1,4
37,пр. Большевиков 59б,3,123,1,1280741941,53.211897,50.209922,Золотая чаша,4
38,М. Сухаревская пл. 70а,2,57,1,1280741941,52.342141,104.213358,Barracuda,4
39,Кастанаевская 38,3,1,1,1280741941,55.73587,37.479627,Стрела,4
40,7-й Северный Форт ,0,57,1,1280741941,52.313021,104.27568,Leto Project,4
41,новочеркасский 29К1,176,1,1,1280741941,55.653665,37.76672,Жажда,4
42,Ланское шоссе 48,0,42,1,1280741941,51.680157,39.175467,Tarantul,4
43,Комсомольская 2,12,151,1,1280741941,54.737465,55.990797,Sova,4
44,просп. Мира 119,4,1,1,1280741941,55.828703,37.633688,M-Club,4
45,просп. Мира 150,13,1,1,1280741941,55.822463,37.646768,Happyland,4
46,Маяковского 65К1,65,1,1,1280741941,55.730466,37.623726,FAQ-Caf?,4
47,Волков пер. 13К1,1,1,1,1280741941,55.76365,37.574013,Все свои,4
48,3-я ул. Ямского поля 15,5,1,1,1280741941,55.782486,37.579381,Мажор Холл,4
49,Попова 6,1,49,1,1280741941,56.83617,60.592444,Tele-port,4
50,Дачная 2,13,123,1,1280741941,53.20206,50.141302,Айсберг,4
51,Толмачева 12,3,49,1,1280741941,56.838258,60.61024,Квартира,4
52,Блюхера 58,7,49,1,1280741941,56.846095,60.632455,F1,4
53,Тельмана 46,4,72,1,1280741941,45.04084,38.987512,V-Twin,4
54,Большой просп. П.С. 43,4,2,1,1280741941,59.960769,30.304882,Держись,4
55,просп. Ленина 97,0,87,1,1280741941,68.975689,33.094932,Умка,4
56,Летниковская 6а,3,1,1,1280741941,55.726056,37.644585,Восточный дом,4
57,Холодильный пер. 3,52,1,1,1280741941,55.708917,37.625451,Tuning Hall,4
58,Первомайская ул. 16,0,49,1,1280741941,56.817774,60.676729,PV,4
59,Б.Никитская 19К13,0,1,1,1280741941,55.756974,37.600963,Blues Time,4
60,Паустовского 8К1,9,1,1,1280741941,55.599072,37.538373,Икенга,4
61,Санкт-Петербургскийский 6,0,158,1,1280741941,55.157428,61.394918,Sugar Free,4
62,Московский просп. 97,1,2,1,1280741941,59.893231,30.317243,Моссoncert,4
63,Новопесчаная 12,9,1,1,1280741941,55.798849,37.513233,Питер,4
64,Берсеневская наб. 6К3,14,1,1,1280741941,55.740603,37.609254,Палитра,4
65,Театральный пр. 3К3,80,1,1,1280741941,55.759993,37.622603,Мастерская,4
66,Новослободская 46,2,1,1,1280741941,55.785792,37.595609,Рэй,4
67,Донская 15,4,1,1,1280741941,55.723693,37.608113,Newton Bar,4
68,Вавилова 65,9,1,1,1280741941,55.684655,37.554394,X.O.,4
69,Дзержинского 98а,3,134,1,1280741941,45.044998,41.978031,Live city dance hall,4
70,Ломоносова 72К2,0,72,1,1280741941,45.022074,38.979418,Караганда,4
71,Стартовая 19а,4,483,1,1280741941,55.837879,37.300431,Пятница,4
72,Подзеленье ,82,169,1,1280741941,57.621166,39.897002,Мед,4
73,Дачная 2,31,123,1,1280741941,53.201974,50.141302,Оперетта,4
